;id;Lat;Lng;
07:03:08.688348;1;45.29294937193674;-88.9945323303055;IERS2010
07:03:24.330549;2;45.77083169464396;-87.77836294220673;IERS2010
07:03:39.882108;3;46.22701165204476;-86.55980728059615;IERS2010
07:03:55.584332;4;46.67330635034973;-85.30644051167295;IERS2010
07:04:11.151500;5;47.10037559353577;-84.04302899288798;IERS2010
07:04:26.834872;6;47.51500819906353;-82.7482868717254;IERS2010
07:04:42.563067;7;47.91416464198785;-81.42929456315072;IERS2010
07:04:58.257064;8;48.29574285657426;-80.09159602007745;IERS2010
07:05:13.957118;9;48.65990052619328;-78.73352738017721;IERS2010
07:05:29.647416;10;49.00617771603626;-77.35550729918454;IERS2010
07:05:45.350679;11;49.33425397192362;-75.9574563383998;IERS2010
07:06:01.048617;12;49.64361924856264;-74.54014960189488;IERS2010
07:06:16.726392;13;49.9333185082688;-73.10686947609238;IERS2010
07:06:32.452242;14;50.20425184625906;-71.65159010666781;IERS2010
07:06:48.147733;15;50.45459479307607;-70.18259803103295;IERS2010
07:07:03.840071;16;50.68447836727533;-68.69826612746566;IERS2010
07:07:19.534097;17;50.893590477616875;-67.19935694860074;IERS2010
07:07:35.234910;18;51.08166175174054;-65.68640859476798;IERS2010
07:07:50.923473;19;51.248157296828495;-64.16255775652408;IERS2010
07:08:06.626075;20;51.39306821947594;-62.62661418060483;IERS2010
07:08:22.324763;21;51.51596645338863;-61.081648231818946;IERS2010
07:08:38.018629;22;51.61664539084513;-59.529261897362424;IERS2010
07:08:53.714932;23;51.69497712352597;-57.97031042211921;IERS2010
07:09:09.422477;24;51.7508293299592;-56.40582114939401;IERS2010
07:09:25.142091;25;51.78408809421019;-54.83611577793679;IERS2010
07:09:40.838346;26;51.794608857919094;-53.267576137860125;IERS2010
07:09:56.534575;27;51.78245050825519;-51.69908778505867;IERS2010
07:10:12.236194;28;51.74762018842203;-50.13179650596093;IERS2010
07:10:27.920836;29;51.69024654046931;-48.569319471248775;IERS2010
07:10:43.620159;30;51.61034272096131;-47.01061030595384;IERS2010
07:10:59.344906;31;51.5078911825436;-45.45574195124871;IERS2010
07:11:15.045673;32;51.38339594261299;-43.91124425137367;IERS2010
07:11:30.772937;33;51.23666269718584;-42.37356802375479;IERS2010
07:11:46.473415;34;51.06845401423313;-40.84946039713231;IERS2010
07:12:02.192323;35;50.87857798575721;-39.33575758104064;IERS2010
07:12:17.891875;36;50.667806742907786;-37.837347802047425;IERS2010
07:12:33.585581;37;50.43635084550489;-36.354071374805926;IERS2010
07:12:49.301936;38;50.18420330800869;-34.884776411693466;IERS2010
07:13:05.003658;39;49.912195766773515;-33.43311510015303;IERS2010
07:13:20.721411;40;49.62026861558863;-31.997532495598414;IERS2010
07:13:36.422172;41;49.30946648642128;-30.58184482537836;IERS2010
07:13:52.117138;42;48.97997487653925;-29.185385317429496;IERS2010
07:14:07.809507;43;48.63234707108806;-27.809098047517942;IERS2010
07:14:23.503134;44;48.26690912053569;-26.452898903156864;IERS2010
07:14:39.194187;45;47.88429874308294;-25.117782347642155;IERS2010
07:14:54.885431;46;47.48474228458046;-23.803198236100176;IERS2010
07:15:10.590416;47;47.06834927546986;-22.508340936604174;IERS2010
07:15:26.299256;48;46.636032168399346;-21.234849906400846;IERS2010
07:15:42.006375;49;46.18844902007125;-19.983315640970858;IERS2010
07:15:57.709293;50;45.72580204186914;-18.752991137895542;IERS2010
07:16:13.402657;51;45.24910746512906;-17.545234782713933;IERS2010
07:16:29.095799;52;44.75842437821907;-16.35885004341852;IERS2010
07:16:44.784686;53;44.254354272499064;-15.194018629225551;IERS2010
07:17:00.469562;54;43.73737908689488;-14.05057826665329;IERS2010
07:17:16.137291;55;43.20837043254295;-12.929145681381922;IERS2010
07:17:31.806448;56;42.667194227211944;-11.828177246268588;IERS2010
07:17:47.464901;57;42.1146815932282;-10.748158594561048;IERS2010
07:18:03.117818;58;41.551077898622836;-9.68836613588921;IERS2010
07:18:18.775687;59;40.976590251533025;-8.648057342419404;IERS2010
07:18:34.479888;60;40.38957428532573;-7.623366265420862;IERS2010
07:18:50.138320;61;39.79431254522504;-6.620719213761837;IERS2010
07:19:05.785917;62;39.18976392116725;-5.6371165853505065;IERS2010
07:19:21.449414;63;38.57523686795916;-4.670438658691364;IERS2010
07:19:37.134938;64;37.95080597517732;-3.7199352453025902;IERS2010
07:19:52.784993;65;37.319176016521624;-2.788721902069515;IERS2010
07:20:08.476428;66;36.67750101081701;-1.8716822227031973;IERS2010
07:20:24.142485;67;36.02882871023964;-0.9723100247782409;IERS2010
07:20:39.806721;68;35.37254991220609;-0.08880757306372679;IERS2010
07:20:55.449846;69;34.709755768062955;0.7782673015383335;IERS2010
07:21:11.155521;70;34.03734101209029;1.6337192688986708;IERS2010
07:21:26.815603;71;33.3598964201461;2.47247652476027;IERS2010
07:21:42.499388;72;32.67483455820398;3.2985657575228085;IERS2010
07:21:58.135690;73;31.985568346269527;4.108676649810201;IERS2010
07:22:13.804230;74;31.28866828312477;4.907597971116486;IERS2010
07:22:29.485952;75;30.585526916886067;5.694359746541461;IERS2010
07:22:45.121267;76;29.87909423583432;6.466424718041554;IERS2010
07:23:00.784854;77;29.1657115547941;7.228486205535741;IERS2010
07:23:16.466209;78;28.446567069911502;7.979842084825239;IERS2010
07:23:32.120220;79;27.723769756927524;8.718939784303178;IERS2010
07:23:47.776493;80;26.996344294157065;9.447430215855965;IERS2010
07:24:03.429295;81;26.263617944069036;10.166556311095523;IERS2010
07:24:18.999057;82;25.531913689967645;10.870813630508803;IERS2010
